id,category,question,expected_fallback,actual_fallback,matched_keywords,total_keywords,keyword_score,expected_pages,retrieved_pages,source_page_correct,answer_is_complete,status,actual_answer,error,manual_grounded_review,manual_notes
1,Objective,What is the objective of this assignment?,False,False,3,5,0.60,1,1,True,True,PASS,The objective of this assignment is to build a RAG-based chatbot that answers questions from uploaded or predefined documents.,,,
2,Deliverables,What are the required deliverables?,False,False,6,6,1.00,1,1|2,True,True,PASS,"The required deliverables include: a RAG architecture diagram, a working RAG chatbot prototype (deployed), sample knowledge base documents, test questions with an evaluation sheet, README and AI_USAGE.md.",,,
3,Tools,Which tools are suggested?,False,False,6,7,0.86,1,1|2,True,True,PASS,"The suggested tools from the document are: LangChain, LlamaIndex, Chroma, Supabase, Pinecone, and Streamlit.",,,
4,Quality,What is the quality bar for the assistant?,False,False,4,5,0.80,1,1|2,True,True,PASS,"The quality bar for the assistant requires that responses must be grounded in the knowledge base and should not invent unsupported facts, with source references provided.",,,
5,Repository,What naming format should be used for the GitHub repository?,False,False,1,1,1.00,1,1|2,True,True,PASS,The naming format that should be used for the GitHub repository is ProjectName-InnoViast.,,,
6,Working Rules,How may AI tools be used during the project?,False,False,4,5,0.80,2,1|2,True,True,PASS,"AI tools can be used for ideation, debugging, UI suggestions, and documentation during the project.",,,
7,Security,Can API keys and passwords be committed to GitHub?,False,False,5,5,1.00,2,1|2,True,True,PASS,"No, API keys and passwords should not be committed to GitHub. According to the Working Rules in Week4_AI_Development.pdf on page 2, ""Never commit API keys, passwords, tokens or private credentials to GitHub.""",,,
8,Evaluation,What percentage is assigned to project functionality?,False,False,1,1,1.00,2,1|2,True,True,PASS,The percentage assigned to project functionality is 30%.,,,
9,Fallback,What is the capital of Japan?,True,True,0,0,1.00,0,,True,True,PASS,I could not find sufficient information in the uploaded documents to answer this question. Please rephrase your question or upload a more relevant document.,,,
10,Fallback,Who won the latest football World Cup?,True,True,0,0,1.00,0,,True,True,PASS,I could not find sufficient information in the uploaded documents to answer this question. Please rephrase your question or upload a more relevant document.,,,
